Gene ID	brain	liver	testis
ENSMUSG00000003458	0.505397239	4.586293287	7.986848109
ENSMUSG00000003464	5.99880259	10.07866832	19.49155848
ENSMUSG00000003469	138.4028248	0	1.388122432
ENSMUSG00000003477	2.502414032	1809.894401	0
ENSMUSG00000003484	0	0	0
ENSMUSG00000003500	1.853154531	0.04669018	0.738221553
ENSMUSG00000003518	213.5992811	33.94305665	29.69347414
ENSMUSG00000003526	8.266207141	12.57791355	0.295711663
ENSMUSG00000003528	3.594865142	66.31590008	20.13331509
ENSMUSG00000003546	1.075443228	0.968190098	3.717871607
ENSMUSG00000003555	0.156838994	0.08981075	552.8603719
ENSMUSG00000003559	3.078144976	17.09600435	17.28138324
ENSMUSG00000003573	8.600257003	0.093726559	0
ENSMUSG00000003575	6.17217024	0	1.284060014
ENSMUSG00000003585	20.68759991	200.1276292	0.137666866
ENSMUSG00000003604	0.261080405	0.228802497	2.011460918
ENSMUSG00000003617	1.038655458	37.42319891	8.29031553
ENSMUSG00000003623	2.515240419	37.92823445	5.002967641
ENSMUSG00000003644	3.027403225	0.605796298	3.801328745
ENSMUSG00000003657	304.1545139	0	0.029779809
ENSMUSG00000003660	0.808297304	0.212341839	3.818164065
ENSMUSG00000003662	2.528019823	6.216475423	26.6472886
ENSMUSG00000003731	7.207207999	2.414381107	15.51583309
ENSMUSG00000003746	0.468722229	2.165299391	0.11849043
ENSMUSG00000003808	19.99741813	5.604857278	39.66804105
ENSMUSG00000003809	11.54233891	151.1800248	4.737775391
ENSMUSG00000003812	0	0.912175886	0.084583809
ENSMUSG00000003813	2.615831242	1.342396155	34.65197927
ENSMUSG00000003814	220.8017908	228.3292291	1833.323096
ENSMUSG00000003824	0	0	9.67297008
ENSMUSG00000003848	0	0	0.272717782
ENSMUSG00000003849	5.22780987	2.391236346	0.494886439
ENSMUSG00000003863	16.90076181	0.073006487	0.103525702
ENSMUSG00000003865	2.958572979	0.774214956	0.712407397
ENSMUSG00000003868	9.167812887	6.902584692	260.4438273
ENSMUSG00000003872	1.269812325	0	0
ENSMUSG00000003873	39.18672688	29.49239036	31.42305138
ENSMUSG00000003934	1.592022445	0	0
ENSMUSG00000003955	50.52562896	86.78961329	46.54893819
ENSMUSG00000003970	16.91297742	137.2672355	17.46844234
ENSMUSG00000003974	2.113299973	0.016765365	0.010119466
ENSMUSG00000004031	0.289336043	0	0
ENSMUSG00000004032	178.892863	34.75020589	177.9363739
ENSMUSG00000004035	3.539847929	49.83190286	65.9541617
ENSMUSG00000004038	0	226.5658187	10.80971386
ENSMUSG00000004043	0	0.555902157	0.319986179
ENSMUSG00000004044	0.437201265	0.456950199	43.30418222
ENSMUSG00000004056	5.277611959	1.610278938	4.513592251
ENSMUSG00000004070	35.18846482	23.05399752	192.9586588
ENSMUSG00000004096	1.685095972	1.230238068	3.509228762
ENSMUSG00000004099	0.510095549	0.033486645	0.824714804
ENSMUSG00000004207	15.18634838	48.04385659	27.70633091
ENSMUSG00000004221	0.962354899	0.085590235	2.425580993
ENSMUSG00000004233	3.529652596	0.15131617	1.192012547
ENSMUSG00000004264	16.76873929	329.8355394	183.6488711
ENSMUSG00000004266	0.252515385	2.436877556	1.02528533
ENSMUSG00000004267	878.9129077	0.098465724	0.135037966
ENSMUSG00000004268	0	0.366342024	0.195016309
ENSMUSG00000004270	0	3.879373183	15.94606903
ENSMUSG00000004285	19.65397164	5.55266811	12.66390124
ENSMUSG00000004317	0.458968537	0.022099681	3.415699211
ENSMUSG00000004364	17.03419382	3.140167109	98.54705193
ENSMUSG00000004366	1.484994936	0	0
ENSMUSG00000004394	4.151802845	44.6693893	26.73362358
ENSMUSG00000004446	2.918825274	2.265204369	3.050070612
ENSMUSG00000004451	117.1946521	27.22329612	43.79629155
ENSMUSG00000004460	15.49925585	59.39256938	117.513406
ENSMUSG00000004530	21.18937945	1.370986743	21.11177809
ENSMUSG00000004535	0.799840345	0.039244309	5.75911809
ENSMUSG00000004558	8.300504806	22.71104014	0
ENSMUSG00000004567	0	0	0.656289666
ENSMUSG00000004568	0.951877667	0.523091055	0.453877328
