Gene ID	brain	liver	testis
ENSMUSG00000009733	7	2	5
ENSMUSG00000009863	107	147	62
ENSMUSG00000009876	5	0	0.7
ENSMUSG00000009894	198	28	10
ENSMUSG00000009905	4	2	0.8
ENSMUSG00000009907	6	7	3
ENSMUSG00000009927	281	271	240
ENSMUSG00000010025	9	18	4
ENSMUSG00000010044	1	0	106
ENSMUSG00000010045	6	4	9
ENSMUSG00000010047	1	5	0.7
ENSMUSG00000010054	47	14	8
ENSMUSG00000010064	9	128	0
ENSMUSG00000010080	2	0	0.6
ENSMUSG00000010095	42	12	31
ENSMUSG00000010097	18	13	29
ENSMUSG00000010110	12	12	14
ENSMUSG00000010122	0.9	22	0
ENSMUSG00000010205	5	3	15
ENSMUSG00000010277	36	24	46
ENSMUSG00000010342	0	0	22
ENSMUSG00000010358	2	15	1
ENSMUSG00000010376	127	60	73
ENSMUSG00000010392	8	9	15
ENSMUSG00000010406	20	23	22
ENSMUSG00000010517	11	11	29
ENSMUSG00000010592	1	0	34
ENSMUSG00000010608	12	8	18
ENSMUSG00000010651	0	137	0
ENSMUSG00000010660	4	0	3
ENSMUSG00000010663	57	149	11
ENSMUSG00000010755	13	8	6
ENSMUSG00000010796	0	0	23
ENSMUSG00000010803	100	0	0.7
ENSMUSG00000010830	0.5	0	1
ENSMUSG00000010911	18	14	21
ENSMUSG00000010914	18	10	21
ENSMUSG00000010936	6	5	3
ENSMUSG00000011096	9	8	7
ENSMUSG00000011148	10	4	0.5
ENSMUSG00000011154	0.9	0	47
ENSMUSG00000011254	2	0.8	7
ENSMUSG00000011306	18	5	40
ENSMUSG00000011382	2	39	3
ENSMUSG00000011589	15	0	0.6
ENSMUSG00000011752	150	51	13
ENSMUSG00000011877	43	1	88
ENSMUSG00000011884	18	1	2
ENSMUSG00000011958	12	16	17
ENSMUSG00000011960	4	4	3
ENSMUSG00000012017	0	0	0.6
ENSMUSG00000012187	0	0	0
ENSMUSG00000012211	0	0	121
ENSMUSG00000012405	37	22	9
ENSMUSG00000012428	0	48	0.5
ENSMUSG00000012429	3	4	13
ENSMUSG00000012443	0.5	0.5	14
